Name,Price,Image URL
White Button Mushrooms,11.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5046533.png?w=384
V Blue Guarana Energy Drink,3..49,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5007494.png?w=384
Pams Streaky Bacon,19.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5084510.png?w=384
Large Croissant,5.69,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5107154.png?w=384
Pams Brushed Agria Potatoes,8.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5264180.png?w=384
Pams Pure Plain Flour,2.35,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5003829.png?w=384
Kleenex Aloe & Vitamin E Facial Tissues,4.49,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5002351.png?w=384
Arnott's Shapes Originals Chicken Crimpy Crackers,3.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5011024.png?w=384
Pams Roma Tomatoes,2.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5262794.png?w=384
Rose Apples,5.49,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5045864.png?w=384
Handee Ultra Double Length 2 Ply Paper Towels,5.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5260093.png?w=384
Eggplant (Aubergine),3.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5039972.png?w=384
Schweppes Sparkling Duet Orange & Lemon Soft Drink,2.49,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5003623.png?w=384
Heartland Southern Salt Old Fashioned Wave Cut Potato Chips,3.19,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5011412.png?w=384
Ploughmans Bakery Rustic White Bread,4.39,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5011077.png?w=384
Lamb Loin Chops,30.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5100303.png?w=384
Sealord Smoked Flavour Tuna,5..00,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5009952.png?w=384
Green Cabbage,3.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5039960.png?w=384
Peckish Original Rice Crackers,2.49,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5010998.png?w=384
Champagne Leg Ham,22.00,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5110088.png?w=384
Value White 2 Ply Facial Tissues,1.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5216883.png?w=384
Wattie's Baked Beans In Tomato Sauce,2.69,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5001949.png?w=384
NZ Pork Leg Roast,8.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5125281.png?w=384
Tip Top Supersoft Wholemeal Toast Bread,4.09,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5012061.png?w=384
Country Soft Canola Oil And Buttermilk Spread,6.19,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5007348.png?w=384
Best Foods Real Mayonnaise,4..99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5004590.png?w=384
Rolling Meadow Tasty Grated Cheese,10.89,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5015760.png?w=384
LeaderBrand Baby Spinach,4.49,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5040724.png?w=384
Anchor Trim Milk,3.30,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5000520.png?w=384
Proper Crisps Marlborough Sea Salt Potato Crisps,5.59,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5008942.png?w=384
Wattie's Spaghetti In Tomato Sauce,2.69,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5002082.png?w=384
Powerade ION4 Mountain Blast Sports Drink,3.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5010699.png?w=384
Anchor Original Soft Spreadable Dairy Blend,6..99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5001313.png?w=384
NZ Chicken Tenderloins,20.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5113040.png?w=384
Pams Fragrance Free Baby Wipes,2.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5004912.png?w=384
Snacka Changi Chips Vinegar & Salt Kettle Fried Potato Chips,4.79,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5269375.png?w=384
Eta Ripple Cut Sour Cream & Chives Potato Chips,2.69,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5010165.png?w=384
Vitasoy Unsweetened Oat Milk,3.59,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5014501.png?w=384
Ploughmans Bakery Harvest Rye Bread,4.39,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5011076.png?w=384
NZ Pork Loin Chops,19.49,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5100697.png?w=384
Sprite Natural Flavour Soft Drink,4.79,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5001553.png?w=384
Rolling Meadow Butter,9.59,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5004821.png?w=384
Nature's Fresh Wheatmeal Toast Bread,3.79,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5013065.png?w=384
Pams Fresh Round Green Beans,2.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5040894.png?w=384
Sanitarium Weet-Bix Breakfast Cereal,8.79,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5035008.png?w=384
Pams Washed Roasting & Mashing Potatoes,7.49,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5264173.png?w=384
Meadow Fresh Kalo Natural Greek Yoghurt,8.59,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5223553.png?w=384
Anchor A2 Blue Milk,7.20,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5238432.png?w=384
Olivani Lite Olive Oil Spread,5..39,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5001769.png?w=384
Pams Buttery Spread,3.79,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5263014.png?w=384
Griffin's Gingernuts Biscuits,3.79,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5003306.png?w=384
Oreo Original Cookies,2..50,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5088910.png?w=384
Beehive Shaved Champagne Ham,4.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5013751.png?w=384
Sprite Zero Sugar Natural Flavour Soft Drink,4.79,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5002185.png?w=384
Arnott's Shapes Originals Cheese & Bacon Crackers,3.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5011027.png?w=384
NZ Beef Schnitzel,25.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5103224.png?w=384
